%usr %sys %iowait %idle date time elapsed_time
30.20 69.80 0.00 0.00 2016-04-15 11:49:09 0
29.00 71.00 0.00 0.00 2016-04-15 11:49:14 5
29.60 70.20 0.00 0.00 2016-04-15 11:49:20 10
29.40 70.60 0.00 0.00 2016-04-15 11:49:25 15
28.74 71.06 0.00 0.00 2016-04-15 11:49:30 20
30.20 69.80 0.00 0.00 2016-04-15 11:49:35 25
30.54 69.26 0.00 0.00 2016-04-15 11:49:40 30
32.26 67.74 0.00 0.00 2016-04-15 11:49:45 35
30.00 69.80 0.00 0.00 2016-04-15 11:49:50 40
31.00 69.00 0.00 0.00 2016-04-15 11:49:55 45
28.26 71.74 0.00 0.00 2016-04-15 11:50:00 50
53.29 45.91 0.00 0.00 2016-04-15 11:50:05 55
61.72 38.28 0.00 0.00 2016-04-15 11:50:10 60
60.40 39.00 0.00 0.00 2016-04-15 11:50:15 65
61.62 38.18 0.00 0.00 2016-04-15 11:50:20 70
39.56 55.02 0.00 0.00 2016-04-15 11:50:25 75
37.20 56.00 0.00 0.00 2016-04-15 11:50:30 80
50.20 46.99 0.00 0.00 2016-04-15 11:50:35 85
59.00 40.80 0.00 0.00 2016-04-15 11:50:40 90
61.24 38.15 0.00 0.00 2016-04-15 11:50:45 95
54.29 43.31 0.00 0.00 2016-04-15 11:50:50 100
62.73 37.07 0.00 0.00 2016-04-15 11:50:55 105
60.28 38.92 0.00 0.00 2016-04-15 11:51:00 110
56.25 37.30 5.24 0.00 2016-04-15 11:51:06 115
62.00 37.40 0.00 0.00 2016-04-15 11:51:11 120
59.28 40.12 0.00 0.00 2016-04-15 11:51:16 125
50.20 45.80 0.00 0.00 2016-04-15 11:51:21 130
32.87 59.52 0.00 0.00 2016-04-15 11:51:26 135
33.00 59.20 0.00 0.00 2016-04-15 11:51:31 140
46.80 48.80 0.00 0.00 2016-04-15 11:51:36 145
34.60 58.00 0.00 0.00 2016-04-15 11:51:41 150
34.74 56.63 0.00 0.00 2016-04-15 11:51:46 155
36.87 55.71 0.00 0.00 2016-04-15 11:51:51 160
34.40 57.20 0.00 0.00 2016-04-15 11:51:56 165
47.09 49.70 0.00 0.00 2016-04-15 11:52:01 170
57.20 41.00 0.00 0.00 2016-04-15 11:52:06 175
37.68 56.31 0.00 0.00 2016-04-15 11:52:11 180
59.36 39.84 0.00 0.00 2016-04-15 11:52:16 185
60.40 38.40 0.00 0.00 2016-04-15 11:52:22 190
61.60 37.40 0.00 0.00 2016-04-15 11:52:27 195
62.48 37.52 0.00 0.00 2016-04-15 11:52:32 200
62.00 37.40 0.00 0.00 2016-04-15 11:52:37 205
53.98 44.02 0.00 0.00 2016-04-15 11:52:42 210
40.92 53.29 0.00 0.00 2016-04-15 11:52:47 215
43.91 51.90 0.00 0.00 2016-04-15 11:52:52 220
51.50 45.69 0.00 0.00 2016-04-15 11:52:57 225
43.00 52.00 0.00 0.00 2016-04-15 11:53:02 230
