#Mem_used Mem_free Mem_buffers Mem_cached Swap_used Swap_free Date Time Elapsed_time
528544 497468 27648 427384 0 1046524 2016-04-15 11:49:04 0
528836 497176 27648 427396 0 1046524 2016-04-15 11:49:10 5
528728 497284 27648 427416 0 1046524 2016-04-15 11:49:15 10
528648 497364 27648 427436 0 1046524 2016-04-15 11:49:20 15
528628 497384 27648 427456 0 1046524 2016-04-15 11:49:25 20
529064 496948 27648 427476 0 1046524 2016-04-15 11:49:30 25
528784 497228 27648 427496 0 1046524 2016-04-15 11:49:35 30
528680 497332 27648 427520 0 1046524 2016-04-15 11:49:40 35
528560 497452 27648 427548 0 1046524 2016-04-15 11:49:45 40
528660 497352 27648 427568 0 1046524 2016-04-15 11:49:50 45
528644 497368 27648 427588 0 1046524 2016-04-15 11:49:55 50
528920 497092 27648 427608 0 1046524 2016-04-15 11:50:00 55
589252 436760 27976 486296 0 1046524 2016-04-15 11:50:05 60
665116 360896 27976 561512 0 1046524 2016-04-15 11:50:10 65
737848 288164 27980 634044 0 1046524 2016-04-15 11:50:15 70
802080 223932 29012 696444 0 1046524 2016-04-15 11:50:21 75
835784 190228 30884 726728 0 1046524 2016-04-15 11:50:26 80
867872 158140 32240 755844 0 1046524 2016-04-15 11:50:31 85
922432 103580 33300 808284 0 1046524 2016-04-15 11:50:36 90
939324 86688 30596 827436 0 1046524 2016-04-15 11:50:41 95
941096 84916 30168 829620 0 1046524 2016-04-15 11:50:46 100
940848 85164 29752 829180 0 1046524 2016-04-15 11:50:52 105
938580 87432 29396 828052 0 1046524 2016-04-15 11:50:57 110
940324 85688 29392 829456 0 1046524 2016-04-15 11:51:02 115
938684 87328 29216 827932 0 1046524 2016-04-15 11:51:07 120
940596 85416 28992 830080 0 1046524 2016-04-15 11:51:12 125
940688 85324 27992 831000 0 1046524 2016-04-15 11:51:17 130
940864 85148 28972 828820 0 1046524 2016-04-15 11:51:22 135
941896 84116 29232 827964 0 1046524 2016-04-15 11:51:27 140
939768 86244 29868 823696 0 1046524 2016-04-15 11:51:33 145
941808 84204 32700 821280 0 1046524 2016-04-15 11:51:38 150
942900 83112 33364 819328 0 1046524 2016-04-15 11:51:43 155
942308 83704 35096 815024 0 1046524 2016-04-15 11:51:48 160
939744 86268 35820 809636 0 1046524 2016-04-15 11:51:53 165
942956 83056 36820 810120 0 1046524 2016-04-15 11:51:58 170
942504 83508 37136 809416 0 1046524 2016-04-15 11:52:04 175
941032 84980 38928 805124 0 1046524 2016-04-15 11:52:09 180
938840 87172 40548 800496 0 1046524 2016-04-15 11:52:14 185
940340 85672 40668 801488 0 1046524 2016-04-15 11:52:19 190
939220 86792 41396 800464 0 1046524 2016-04-15 11:52:24 195
940012 86000 41400 801032 0 1046524 2016-04-15 11:52:29 200
939696 86316 41384 800972 0 1046524 2016-04-15 11:52:35 205
918796 107216 41280 780316 0 1046524 2016-04-15 11:52:40 210
938444 87568 42640 798096 0 1046524 2016-04-15 11:52:45 215
943208 82804 45144 799936 0 1046524 2016-04-15 11:52:50 220
943852 82160 48072 797860 0 1046524 2016-04-15 11:52:55 225
940332 85680 51284 790760 0 1046524 2016-04-15 11:53:00 230
939312 86700 52160 787948 0 1046524 2016-04-15 11:53:05 235
944808 81204 52940 790392 0 1046524 2016-04-15 11:53:11 240
940196 85816 52632 786164 0 1046524 2016-04-15 11:53:16 245
938468 87544 54208 781692 0 1046524 2016-04-15 11:53:21 250
940440 85572 54148 781640 0 1046524 2016-04-15 11:53:26 255
939616 86396 54788 778284 0 1046524 2016-04-15 11:53:31 260
942580 83432 55532 780372 0 1046524 2016-04-15 11:53:36 265
945736 80276 58340 776404 0 1046524 2016-04-15 11:53:41 270
952128 73884 58308 778708 0 1046524 2016-04-15 11:53:47 275
940572 85440 58976 765140 0 1046524 2016-04-15 11:53:52 280
947204 78808 61116 765324 0 1046524 2016-04-15 11:53:57 285
948144 77868 62024 761180 0 1046524 2016-04-15 11:54:02 290
938148 87864 61656 752700 0 1046524 2016-04-15 11:54:07 295
937972 88040 61664 752720 0 1046524 2016-04-15 11:54:12 300
938164 87848 61672 752740 0 1046524 2016-04-15 11:54:17 305
